sex,height,weight,exp,max_boulder,max_sport,days,maxhang,pullup,weightedpull
Male,187,85,1,V4,8a,8,0,15,0
Male,183,70,3,V8,7a+,12,30,18,20
Male,178,63,13,V11,8a+,12,45,24,35
Female,156,42,2,V0,5c,8,0,0,0
Male,165,63,4,V10,7b,16,43,0,0
Male,177,70,0,V2,6b,4,0,8,0
Male,178,79.8,3,V6,6b+,12,0,0,0
Male,177.8,59.87419284,1,V9,7c,20,0,0,0
Male,194,86,1,V6,6c,12,0,25,0
Male,172,61,4,V10,0,16,16,22,24
Male,178,73.4,1,V6,0,12,0,15,15
Male,175,68,7,V6,7b,8,32,15,25
Male,190.5,78,3,V7,7b,16,0,15,12
Male,187.96,77.1,3,V9,7c+,12,20.14,25,41
Male,184,75,4,V6,6c,8,0,15,50
Male,178,79,1,V6,7b,12,0,17,15
Female,170,51,5,V7,7c+,8,0,15,0
Male,182,83.6,1,V6,0,12,0,6,0
Male,165,68,15,V13,8c,12,0,10,0
Male,177,71,1,V5,0,12,0,15,0
Male,183,80,2,V7,7b+,8,0,15,40
Male,183,70,1,V7,7b,12,0,18,0
Female,178,61,1,V3,6a,12,0,3,0
Male,180,74.8,8,V10,8b,16,0,15,0
Male,175,72,0,V0,7b+,12,0,18,27
Male,168,59,0,V7,6c,8,9,12,5
Female,162,60,1,V4,6c,16,0,0,0
Male,172,72,4,V7,0,16,35,20,35
Male,178,77,5,V7,7c,12,0,15,0
Male,178,81,4,V6,6b+,8,0,10,0
Female,152,54,2,V2,0,4,0,0,0
Female,160,54.4,1,V4,7a,8,0,4,0
Male,196,93,0,V6,7a+,12,0,2,0
Female,160,56,2,V4,6b,8,0,5,0
Male,187.96,77.5643,7,V7,8a,8,9,18,25
Male,185,66,6,V10,7c,16,0,30,0
Male,184,59,4,V4,6a,4,0,4,0
Male,189,70,2,V7,7b,20,0,0,0
Male,178,81.6,1,V5,0,8,0,18,40
Male,175,58,2,V8,7b+,16,20,0,25
Male,178,66,6,V8,7a+,12,0,20,0
Male,169,79,1,V4,5c,12,0,28,75
Male,185,70.3,2,V7,6c,12,0,20,20
Female,165,61,1,V4,6a,12,0,4,0
Male,179,73,0,V4,6b+,8,0,18,0
Male,180,72.5,2,V8,7b,20,0,25,0
Male,178,68,2,V9,7a,8,0,25,15
Female,158,54,3,V0,6a,8,0,0,0
Male,183,81,7,V10,8a,12,0,0,0
Male,183,86,4,V7,6b+,12,86,13,95
Male,170,85,1,V2,7a,8,0,8,0
Male,185,78,1,V7,7a+,8,0,12,0
Male,185,78,1,V7,7a+,8,0,12,0
Male,180,81.65,2,V7,7b,12,50,8,0
Male,178,74.5,11,V7,7b,12,5,0,24
Male,178,82,1,V5,6a,8,0,0,0
Male,176,76,1,V6,6c,12,0,0,0
Male,183,79,4,V9,7c,20,36,19,34
Male,167,74,1,V6,0,8,0,0,0
Male,182.9,80,4,V8,7c,12,0,20,35
Male,183,80,11,V9,0,8,0,35,40
Male,180,92,1,V5,6a,8,0,8,8
Female,165,53.5,2,V6,7b,16,0,15,0
Male,180,70,6,V9,8b,20,35,25,40
Male,192,89,2,V6,7a,12,0,12,0
Male,177.5,72.5,1,V5,6a,12,0,20,21
Female,169,57,1,V3,5b,8,0,4,0
Male,171,68,1,V8,0,12,0,0,0
Male,180,74.8,12,V7,8a,12,43,0,45
Male,174,68,2,V8,7a+,16,0,0,0
Male,194,80,0,V3,5a,16,0,12,0
Male,183,98,5,V4,7a+,12,0,9,0
Male,160,64.41,5,V7,0,8,0,30,0
Male,179,68,7,V6,7b+,12,0,12,0
Male,186,78,9,V8,7c,8,0,12,0
Male,171,65,1,V3,5c,12,0,20,28
Male,172,61,1,V8,7b,16,36,35,45
Male,183,79,5,V9,0,16,45,20,40
Male,162,56,1,V5,6b,12,0,12,0
Male,182,83,9,V14,0,16,40,30,80
Female,178,64,1,V6,0,12,0,9,0
Male,177,64,4,V10,8a+,20,67,30,50
Male,175,66,1,V5,0,12,0,10,0
Female,162.5,61,3,V9,4a,16,30,12,13
Female,163,55,0,V6,7a+,20,0,0,0
Male,177,74,7,V10,8a,12,39,25,27
Male,185,74,2,V6,7b,8,0,0,0
Male,180,78,14,V10,7c+,16,52.5,30,57
Male,177.5,72,10,V6,7b+,12,0,0,0
Male,178,72,0,V4,0,12,0,0,0
Male,172,57,1,V6,7b,12,0,0,0
Male,180,82,3,V6,7a+,4,0,10,0
Male,185,88.45,10,V9,4a,12,27.21,20,60
Male,174,75,2,V5,7a+,12,0,12,0
Male,183,85,2,V5,6c,12,1,0,0
Male,176,68,2,V8,0,8,0,0,0
Male,180,64,4,V0,8a,16,46,0,0
Male,171,59,1,V7,7c+,12,0,0,0
Male,180,70,8,V11,8b+,16,57,28,35
Male,179,72,2,V6,7a,20,0,0,35
Male,172,88,10,V8,0,12,45,12,0
Male,180,70,8,V9,7c+,16,58,0,0
Male,173,64,10,V12,0,28,60,37,50
Male,178,68,10,V0,8b,16,36,0,25
Male,162,53,2,V5,6c,8,0,20,0
Male,173,63,7,V13,0,16,0,25,75
Male,185,100,2,V5,5c,8,0,20,30
Male,185,65,2,V7,7c,8,0,6,0
Male,191,113,0,V3,5c,8,0,0,0
Male,172,75,1,V4,5c,12,0,20,0
Male,170,68,2,V5,4a,4,0,15,15
Male,175.26,70.3,1,V7,7a+,24,0,17,25
Female,167,70,8,V11,7c+,20,0,12,18
Female,162.56,56.699,10,V6,7b,12,0,5,0
Male,175,63.5,5,V8,0,20,30,30,40
Male,178,66,3,V6,7b,12,0,16,0
Male,187,72,3,V8,7b,12,20,18,20
Male,175,64,3,V6,7b,12,0,18,20
Female,167,73,0,V2,4b,8,0,0,0
Male,183,67,1,V6,7b,12,0,18,10
Male,186,70,2,V6,0,12,0,15,0
Male,174,60,0,V6,7b,16,0,10,0
Male,178,66,9,V11,0,16,0,25,0
Male,179,66.22,3,V8,4a,16,0,22,0
Female,165,53,4,V4,7a+,8,0,3,0
Male,182.88,65.7,1,V6,6c,8,0,0,0
Male,180,86,1,V5,7b,12,0,10,0
Male,184,87,2,V4,6b,12,0,13,20
Male,188,65,1,V4,7b,8,0,12,0
Male,180,76,2,V6,7a+,12,20,22,35
Male,193,76,0,V4,6a,8,0,12,0
Male,177,69,1,V5,0,12,0,3,0
Male,180,72,3,V8,7b+,16,22.6,20,28
Male,167,62.5,1,V7,7a+,16,0,25,15
Male,173,130,2,V7,7b,12,0,15,0
Male,177.8,58.967,5,V9,0,16,0,13,12
Male,180,59,3,V5,0,8,0,11,0
Male,176,73.3,7,V7,7b,8,0,12,0
Female,165,63.5,4,V6,7b+,8,0,10,0
Male,178,72,1,V4,6b,12,0,15,55
Female,160,117,1,V5,6c,12,0,5,0
Female,168,70,6,V6,6c,8,0,3,0
Male,193,86,1,V7,7a,12,0,10,0
Male,175,77,2,V6,0,12,10,15,15
Male,188,82,0,V4,7a,12,0,9,0
Female,171,68,4,V5,0,12,0,6,0
Male,186,80,11,V9,0,12,25,15,30
Female,167.64,56.699,3,V8,7c,16,0,20,15
Male,185,78,7,V8,7b+,8,44,12,20
Male,180,72.5,10,V8,7c+,8,0,14,0
Male,175,65.5,4,V8,7b+,8,0,15,16
Male,180,70,3,V8,7b+,16,0,25,35
Male,175,67,1,V7,0,16,0,20,27
Male,175,75,9,V6,7b+,8,0,17,15
Male,179,63,1,V4,0,8,0,15,15
Male,182,65,1,V5,7c,8,0,0,0
Male,184,78,6,V6,7b,16,0,13,0
Male,177,73.5,8,V10,0,16,52.5,0,0
Male,188,78,0,V3,6b,16,0,12,10
Male,184,80,3,V4,7a+,12,0,14,60
Male,176,54,1,V6,7a,8,15,30,25
Male,170,65,0,V5,6c,12,0,30,30
Male,178,80,1,V4,6b,8,0,8,0
Male,169,63,1,V6,6b+,12,22,24,35
Male,168.5,76,1,V5,7a,4,0,30,0
Male,173,70,3,V6,6c,12,0,18,0
Female,157,59,2,V4,7a,20,0,0,0
Male,173,76,6,V4,6c,16,0,12,15
Male,190.5,70.3,1,V7,7b,12,25,20,20
Male,170,73.66,0,V6,0,16,0,18,10
Female,176,56,2,V5,6b+,12,8,12,5
Male,183,70,1,V6,6a,8,0,15,10
Female,170,56,1,V6,0,12,0,15,0
Male,183,72,1,V6,7b,12,0,14,0
Male,175,65,5,V10,8b,20,0,33,25
Male,165,68,5,V9,0,12,45,24,35
Male,188,77,1,V4,6b,12,0,7,0
Male,155,69,1,V5,8b+,12,0,7,0
Male,181,75,2,V5,7a+,12,0,19,15
Male,178,78,4,V6,0,12,13.6,4,0
Male,180,68,13,V9,7c+,20,12,0,0
Male,177.8,68,4,V7,7b,12,40,0,40
Female,163,56,2,V5,7b+,16,0,15,0
Male,173,65,5,V10,7c+,12,0,12,0
Male,178,65,1,V5,6b+,8,0,12,8
Male,185,74,13,V7,7b,16,8,15,8
Male,185,75,2,V7,7b+,12,0,17,30
Male,175,68,0,V5,6a,12,0,14,12
Male,172.72,81.647,1,V8,6c,12,0,0,0
Male,176,78,1,V4,6b,12,0,10,0
Male,175,72,2,V8,7b+,16,25,20,28
Male,178,76,2,V8,7b+,12,0,10,20
Male,172.72,64.5,3,V7,7c,12,0,0,0
Male,175,63,1,V6,0,16,0,15,0
Male,164,65,1,V6,6b,12,0,10,20
Male,180,63.5,2,V5,7a,8,0,12,30
Male,180,70,4,V11,0,16,10,30,25
Male,173,67,1,V5,0,12,20,13,33
Male,181,78,1,V4,0,12,0,2,0
Male,175,68,15,V8,7c+,4,0,30,35
Female,156,53,0,V5,7a,12,0,0,0
Female,169,65,0,V4,6c,8,0,2,0
Male,178,71,2,V8,0,12,30,0,0
Male,162,56,3,V8,7b+,16,0,30,0
Male,189,75,1,V5,6b+,8,0,0,0
Female,162.5,59,2,V4,0,8,0,3,0
Male,170,65,13,V10,8a,16,0,0,0
Male,180,72,8,V7,8a,16,16,18,20
Male,180,75,2,V5,6b+,0,0,7,0
Male,170,70,1,V5,7a+,20,15,15,18
Male,181,80,0,V4,6b,12,2.5,28,27
Male,170,66,1,V0,7a,12,18,25,36
Male,188,80,3,V7,6b,12,30,15,23
Male,188,71,3,V9,0,16,38,20,25
Male,183,65,4,V4,0,8,0,20,0
Male,167.64,60.328,1,V5,7c+,12,0,5,0
Male,171,67.2,15,V12,0,12,36.3,0,0
Male,178,77,1,V6,7a+,12,0,13,30
Male,183,68.3,0,V5,7a+,20,0,15,0
Male,173,60,5,V10,7c,16,45,18,5
Female,169,65,15,V5,6c,4,0,1,0
Male,175,57,2,V11,8a+,12,36,23,35
Male,178,71,11,V8,0,12,55,18,0
Male,179,69,15,V9,7b,12,21,25,0
Male,178,60,8,V8,7b,8,70,25,60
Male,180,73,5,V8,7b,8,0,20,40
Male,178,75,2,V4,6c,8,0,7,0
Male,185,82,1,V5,0,8,0,15,0
Male,178,72,2,V6,7a+,16,25,0,25
Male,179,82,2,V5,0,16,0,9,5
Male,185.3,87,0,V5,7a+,12,17,14,20
Male,178,68,1,V5,6c,12,10,12,0
Male,172,65.7,6,V9,7c+,16,21,25,70
Male,182,70,5,V7,0,12,0,25,0
Male,170,68,1,V4,6b,4,0,6,0
Male,192,75,1,V6,0,12,0,15,25
Female,160,45,4,V8,7c+,16,0,20,20
Male,173,61.235,2,V5,8a,12,0,0,0
Male,178,70,15,V12,8a+,12,45,30,45
Female,172,62,15,V5,7b,12,0,0,0
Male,170,65,3,V10,7b,12,40,20,25
Male,173,73,1,V5,0,12,7.5,9,15
Male,174.3,61.7,3,V5,0,4,0,20,0
Male,188,86,2,V5,0,8,29,18,0
Male,193,91.5,4,V7,0,8,22.5,0,0
Male,172.72,55,1,V4,0,8,0,17,25
Male,180,81,10,V7,8a,12,35,0,0
Male,110,60,1,V6,5a,20,0,30,15
Male,180,68,1,V6,0,12,20,15,25.5
Male,182,76,4,V9,8b,12,36,27,45
Male,186,74,10,V9,0,12,30,15,25
Male,178,75,1,V3,7a+,8,0,0,0
Male,187,80,3,V2,5c,8,0,5,10
Female,165,52,13,V8,7c+,20,28,15,8
Male,168,61.6,3,V9,0,12,50,0,25
Male,183,68,15,V6,7b,12,40,0,0
Male,173,69,15,V7,7b+,12,0,0,0
Male,182,78,1,V5,7a+,16,5,18,0
Male,190,77,8,V8,7c+,24,17,15,9
Male,170,62,5,V11,8a+,12,0,0,0
Male,160,56,11,V8,8b,12,36,35,32
Male,180,72,7,V11,7c,16,50,23,90
Male,182,78,1,V7,0,20,0,20,20
Male,160,56,11,V8,8b,16,0,0,35
Male,182,84,3,V7,6b+,16,32,12,40
Male,185,77,4,V8,0,12,29,23,25
Male,174,59,4,V11,0,16,0,22,0
Male,180,71,1,V5,8a+,8,0,10,15
Male,177,78,1,V1,7c,12,25,15,35
Female,158.75,58.96,3,V3,6c,4,0,1,0
Male,172,65,15,V6,7c,12,0,15,0
Male,176,76,14,V7,7b+,8,0,25,21
Male,181,68,2,V4,6c,12,0,13,0
Male,172,82.5,2,V7,6c,8,0,0,0
Male,165,63,9,V11,8b,16,50,10,40
Male,164,68,5,V5,8a,8,40,25,40
Male,178,65,4,V7,7c,12,0,30,0
Male,172,53,7,V9,0,8,41.25,15,25
Male,180,78,15,V10,4b,12,0,0,0
Male,180,63.5,1,V4,6c,4,36,20,30
Male,172,57,2,V6,7b+,8,0,15,0
Male,201.1,89,3,V9,7b,16,70,30,40
Male,186,67,14,V9,0,4,27,17,20
Male,187,63,6,V8,8a,12,23,21,25
Male,183,84,2,V9,7a,12,20,15,0
Male,173,68,8,V12,8a,16,60,25,10
Male,186,73,1,V5,0,12,25,0,0
Male,181,75,15,V9,8a,12,62,12,0
Male,173,70,0,V4,0,4,0,20,0
Male,178,67,1,V8,0,20,35,0,25
Female,168,62,12,V8,8a,12,0,0,20
Male,173,67,1,V5,7a+,12,0,8,0
Female,159,54,15,V9,0,12,17,8,0
Male,179,78,0,V3,6c,12,0,0,0
Female,150,49,1,V3,0,8,0,0,0
Male,175,65,7,V5,7a+,4,0,25,25
Male,172,72,1,V7,0,12,30,19,33
Male,183,75,2,V4,7a+,12,10,15,25
Male,183,77,1,V8,0,12,0,0,0
Male,174,64,12,V8,7b+,12,25,14,18
Female,168,62,0,V2,0,4,0,0,0
Male,180,60,0,V6,0,8,0,4,0
Male,169,58,1,V7,0,8,0,16,11
Male,168,62,2,V4,6b,8,0,6,0
Male,181,80,1,V6,0,8,0,18,35
Male,182,65,3,V12,0,16,60,25,45
Male,170,85,1,V5,0,24,10,12,20
Male,183,70,5,V7,7c,12,0,13,0
Male,171,65,2,V8,7b+,8,23,12,25